person,age,country,education,diet_restriction,diet_goal,cooking_exp,eating_habits,gender,category,recipe_name,healthiness,Nutri_score,fsa_score,SValue_Nor,Slabel,recommend_recipe,become_favorite,enjoy_eating,many_to_choose,easy_choice,choice_overwhelming,condition
2046,b35_45,US,High_school,['No dietary restrictions'],"['Eat less salt', ' Eat less sugar', ' Eat more fruit', ' Eat more protein', ' Eat more vegetables', ' Lose weight']",Very High,Neither_healthy_no_unhealthy,Male,Meat and Poultry,Chicken and Bacon Shish Kabobs,healthy,B,8,0.24654068,Medium,Strongly_Agree,Neutral,Strongly_Agree,Disagree,Agree,Strongly_Disagree,Env label
2047,b45_55,US,High_school,['No dietary restrictions'],"['Eat less salt', ' Eat less sugar', ' Eat more protein']",High,Neither_healthy_no_unhealthy,Female,Meat and Poultry,Marinated Pork Tenderloin,healthy,C,8,0.187504861,Medium,Agree,Strongly_Agree,Strongly_Agree,Disagree,Neutral,Strongly_Disagree,Env label
2048,bover_55,US,MSc,['No dietary restrictions'],['Lose weight'],Medium,Healthy,Female,Meat and Poultry,Dijon-Tarragon Cream Chicken,healthy,C,8,0.421679602,Low,Agree,Agree,Strongly_Agree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,Env label
2049,b45_55,US,BA,['No dietary restrictions'],"['Eat less sugar', ' Eat more protein', ' Gain weight']",Medium,Healthy,Male,Seafood Pasta and Noodles,Stuffed Shells I,unhealthy,C,9,0.369430927,Medium,Disagree,Neutral,Agree,Agree,Disagree,Agree,Env label
2050,b25_35,US,BA,"['Gluten free', ' Kosher', ' Pescatarian', ' Vegetarian']","['Eat more fruit', ' Eat more protein', ' Eat more vegetables', ' Lose weight']",High,Healthy,Female,Fruits and Vegetables,California Grilled Veggie Sandwich,healthy,B,8,0.271121078,Medium,Agree,Agree,Agree,Neutral,Strongly_Agree,Neutral,Env label
2051,b45_55,US,BA,['Vegetarian'],['Eat more vegetables'],High,Neither_healthy_no_unhealthy,Female,Fruits and Vegetables,California Grilled Veggie Sandwich,healthy,B,8,0.271121078,Medium,Neutral,Agree,Strongly_Agree,Neutral,Agree,Strongly_Agree,Env label
2052,b45_55,US,BA,['Diabetes'],['No goals'],High,Healthy,Male,Meat and Poultry,Sarge's EZ Pulled Pork BBQ,healthy,A,7,0.10009697,High,Agree,Agree,Strongly_Agree,Disagree,Agree,Neutral,Env label
2054,b25_35,US,BA,['Gluten free'],"['Eat less salt', ' Eat more fruit']",High,Healthy,Male,Fruits and Vegetables,Pizza On The Grill I,healthy,C,7,0.240301113,Medium,Agree,Strongly_Agree,Agree,Strongly_Agree,Agree,Strongly_Agree,Env label
2055,b25_35,US,MSc,"['Halal', ' Kosher', ' Lactose intolerance']","['Eat less salt', ' Eat less sugar', ' Eat more fruit']",High,Very_Healthy,Male,Barbecue,Grilled Tilapia with Mango Salsa,healthy,A,8,0.118788429,High,Strongly_Agree,Strongly_Agree,Strongly_Agree,Strongly_Agree,Strongly_Agree,Strongly_Agree,Env label
2056,b25_35,US,BA,['No dietary restrictions'],"['Eat more fruit', ' Eat more protein', ' Eat more vegetables']",Medium,Very_Healthy,Male,Meat and Poultry,BBQ Pork for Sandwiches,unhealthy,C,9,0.110053984,High,Neutral,Neutral,Strongly_Agree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,Env label
2057,bover_55,US,High_school,['No dietary restrictions'],['Lose weight'],High,Healthy,Female,Meat and Poultry,Simple BBQ Ribs,unhealthy,D,10,0.112601437,High,Neutral,Agree,Agree,Agree,Neutral,Neutral,Env label
2058,b25_35,US,MSc,"['Gluten free', ' Pescatarian']","['Eat less sugar', ' Eat more protein']",High,Very_Healthy,Male,Fruits and Vegetables,Pizza On The Grill I,healthy,C,7,0.240301113,Medium,Strongly_Agree,Strongly_Agree,Strongly_Agree,Strongly_Agree,Strongly_Agree,Strongly_Agree,Env label
2059,b25_35,US,High_school,['No dietary restrictions'],['No goals'],Medium,Unhealthy,Male,Meat and Poultry,Chicken Cordon Bleu II,unhealthy,D,9,0.64441495,Low,Agree,Neutral,Agree,Disagree,Agree,Disagree,Env label
2060,b25_35,US,High_school,['No dietary restrictions'],['Lose weight'],Medium,Neither_healthy_no_unhealthy,Male,Meat and Poultry,Best Beef Dip Ever,unhealthy,B,9,0.316075733,Medium,Agree,Agree,Agree,Disagree,Agree,Disagree,Env label
2061,b25_35,US,BA,['No dietary restrictions'],"['Eat less salt', ' Eat less sugar', ' Eat more fruit', ' Eat more vegetables']",High,Healthy,Female,Seafood Pasta and Noodles,Blackened Tilapia with Secret Hobo Spices,healthy,C,7,0.096147689,High,Agree,Agree,Strongly_Agree,Agree,Disagree,Agree,Env label
2062,b45_55,US,BA,['Diabetes'],"['No goals', ' Eat more fruit']",High,Neither_healthy_no_unhealthy,Male,Meat and Poultry,Sarge's EZ Pulled Pork BBQ,healthy,A,7,0.10009697,High,Agree,Strongly_Agree,Strongly_Agree,Agree,Strongly_Agree,Neutral,Env label
2063,b35_45,US,MSc,['No dietary restrictions'],['No goals'],High,Neither_healthy_no_unhealthy,Female,Meat and Poultry,Charley's Slow Cooker Mexican Style Meat,healthy,B,8,0.088227962,High,Agree,Strongly_Agree,Strongly_Agree,Neutral,Agree,Disagree,Env label
2064,b18_24,US,High_school,['Vegetarian'],"['Eat less salt', ' Eat less sugar', ' Eat more fruit', ' Eat more protein', ' Eat more vegetables']",Medium,Healthy,Female,Fruits and Vegetables,Italian Subs - Restaurant Style,unhealthy,D,10,0.35244794,Medium,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Env label
2065,b35_45,US,Doctorate,['No dietary restrictions'],['No goals'],High,Healthy,Female,Meat and Poultry,Chicken In Basil Cream,unhealthy,C,9,0.475476406,Low,Neutral,Agree,Agree,Disagree,Agree,Strongly_Disagree,Env label
2066,b25_35,US,High_school,"['Diabetes', ' Lactose intolerance']",['Lose weight'],High,Neither_healthy_no_unhealthy,Female,Meat and Poultry,Sausage' Peppers' Onions' and Potato Bake,unhealthy,A,10,0.152794512,High,Agree,Agree,Agree,Disagree,Strongly_Agree,Disagree,Env label
2067,b35_45,US,MSc,['No dietary restrictions'],['No goals'],Medium,Neither_healthy_no_unhealthy,Male,Barbecue,Spinach and Feta Turkey Burgers,healthy,A,7,0.207379914,Medium,Agree,Neutral,Agree,Disagree,Agree,Disagree,Env label
2068,b25_35,US,MSc,['No dietary restrictions'],"['Eat more protein', ' Eat more vegetables', ' Lose weight']",High,Very_Healthy,Male,Seafood Pasta and Noodles,Spinach Cheese Manicotti,unhealthy,B,9,0.326735473,Medium,Agree,Strongly_Agree,Agree,Agree,Agree,Strongly_Agree,Env label
2069,b25_35,US,High_school,['No dietary restrictions'],['No goals'],Low,Neither_healthy_no_unhealthy,Male,Meat and Poultry,Scott Hibb's Amazing Whisky Grilled Baby Back Ribs,unhealthy,B,12,0.221027799,Medium,Agree,Agree,Strongly_Agree,Disagree,Agree,Neutral,Env label
2070,b25_35,US,MSc,['Vegetarian'],"['Eat less sugar', ' Eat more fruit', ' Eat more vegetables']",Low,Neither_healthy_no_unhealthy,Male,Fruits and Vegetables,California Grilled Veggie Sandwich,healthy,B,8,0.271121078,Medium,Agree,Agree,Strongly_Agree,Disagree,Agree,Strongly_Disagree,Env label
2071,b35_45,US,BA,['No dietary restrictions'],['No goals'],Medium,Neither_healthy_no_unhealthy,Female,Seafood Pasta and Noodles,Bow Ties with Sausage' Tomatoes and Cream,unhealthy,C,10,0.146357026,High,Agree,Neutral,Agree,Disagree,Agree,Disagree,Env label
2072,b25_35,US,BA,['No dietary restrictions'],['Eat more fruit'],High,Healthy,Male,Fruits and Vegetables,Rosemary Lemon Grilled Chicken,healthy,C,7,0.309094617,Medium,Agree,Strongly_Agree,Agree,Agree,Strongly_Agree,Strongly_Agree,Env label
2073,b35_45,US,BA,['No dietary restrictions'],"['Eat less sugar', ' Lose weight']",Medium,Neither_healthy_no_unhealthy,Male,Meat and Poultry,Quick Chicken Piccata,healthy,B,8,0.37971817,Low,Agree,Strongly_Agree,Agree,Agree,Disagree,Disagree,Env label
2074,b25_35,US,BA,['No dietary restrictions'],['No goals'],Low,Very_unhealthy,Male,Meat and Poultry,Scott Hibb's Amazing Whisky Grilled Baby Back Ribs,unhealthy,B,12,0.221027799,Medium,Agree,Strongly_Agree,Strongly_Agree,Disagree,Strongly_Agree,Strongly_Disagree,Env label
2075,b25_35,US,BA,"['Gluten free', ' Halal', ' Lactose intolerance', ' Vegetarian']","['Eat more fruit', ' Eat more protein', ' Eat more vegetables', ' Lose weight']",High,Healthy,Male,Fruits and Vegetables,Pizza On The Grill I,healthy,C,7,0.240301113,Medium,Agree,Agree,Agree,Agree,Strongly_Agree,Agree,Env label
2076,b35_45,US,High_school,['No dietary restrictions'],['No goals'],Medium,Neither_healthy_no_unhealthy,Female,Meat and Poultry,Quick and Easy Mexican Chicken,healthy,B,8,0.162808939,High,Neutral,Agree,Agree,Disagree,Neutral,Strongly_Disagree,Env label
2077,b35_45,US,BA,['Diabetes'],['Eat more protein'],Medium,Neither_healthy_no_unhealthy,refuse_to_disc,Meat and Poultry,Chipotle Shrimp Tacos,healthy,A,7,0.173059234,High,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Env label
2078,b45_55,US,BA,['No dietary restrictions'],['No goals'],Medium,Neither_healthy_no_unhealthy,Male,Meat and Poultry,Smoky Grilled Pork Chops,healthy,B,8,0.122414987,High,Agree,Strongly_Agree,Strongly_Agree,Disagree,Strongly_Agree,Disagree,Env label
2079,bover_55,US,High_school,['No dietary restrictions'],['No goals'],Medium,Healthy,Female,Seafood Pasta and Noodles,Broiled Tilapia Parmesan,healthy,B,7,0.386548761,Low,Agree,Agree,Agree,Agree,Agree,Agree,Env label
2080,b35_45,US,BA,['No dietary restrictions'],['No goals'],High,Healthy,Male,Meat and Poultry,Foolproof Rib Roast,unhealthy,B,10,0.30055553,Medium,Agree,Agree,Strongly_Agree,Disagree,Agree,Strongly_Disagree,Env label
2081,b25_35,US,High_school,['No dietary restrictions'],"['Eat more fruit', ' Eat more vegetables', ' Gain weight']",Medium,Unhealthy,Male,Meat and Poultry,Herb Roasted Pork,unhealthy,A,9,0.123774707,High,Agree,Agree,Strongly_Agree,Disagree,Strongly_Agree,Strongly_Disagree,Env label
2082,b35_45,US,MSc,['Diabetes'],['Eat more protein'],High,Very_Healthy,Female,Meat and Poultry,Pico de Gallo Chicken Quesadillas,unhealthy,B,10,0.348773773,Medium,Agree,Agree,Strongly_Agree,Neutral,Agree,Neutral,Env label
2083,b25_35,US,High_school,['No dietary restrictions'],"['Eat less salt', ' Eat less sugar', ' Eat more fruit']",Medium,Healthy,Male,Fruits and Vegetables,Peppered Shrimp Alfredo,unhealthy,C,10,0.552301085,Low,Agree,Agree,Agree,Disagree,Agree,Disagree,Env label
2084,b35_45,US,BA,['No dietary restrictions'],"['Eat more fruit', ' Eat more vegetables', ' Gain weight']",High,Healthy,Female,Fruits and Vegetables,Chicken Souvlaki Gyro Style,unhealthy,C,10,0.391838039,Low,Agree,Neutral,Agree,Neutral,Agree,Disagree,Env label
2085,b45_55,US,MSc,['No dietary restrictions'],['Lose weight'],Low,Unhealthy,Female,Meat and Poultry,Teena's Spicy Pesto Chicken and Pasta,healthy,A,7,0.262395373,Medium,Agree,Strongly_Agree,Strongly_Agree,Disagree,Agree,Disagree,Env label
2086,b35_45,US,MSc,['No dietary restrictions'],"['Eat more vegetables', ' Lose weight']",High,Very_Healthy,Male,Barbecue,Easy Chicken Satay,unhealthy,D,10,0.186929984,Medium,Agree,Agree,Strongly_Agree,Disagree,Neutral,Disagree,Env label
2087,b25_35,VI,MSc,['No dietary restrictions'],['Eat more fruit'],Medium,Healthy,Male,Meat and Poultry,Italian Sausage' Peppers' and Onions,unhealthy,D,10,0.267204815,Medium,Agree,Agree,Agree,Agree,Agree,Strongly_Agree,Env label
2088,b25_35,US,High_school,['No dietary restrictions'],['No goals'],High,Unhealthy,Female,Meat and Poultry,Beef Bulgogi,unhealthy,C,9,0.38972872,Low,Agree,Agree,Agree,Agree,Agree,Agree,Env label
2089,b25_35,US,High_school,['No dietary restrictions'],['No goals'],Low,Neither_healthy_no_unhealthy,Female,Seafood Pasta and Noodles,Shrimp and Mushroom Linguini with Creamy Cheese Herb Sauce,unhealthy,C,9,0.619968992,Low,Neutral,Agree,Strongly_Agree,Disagree,Agree,Disagree,Env label
2090,b35_45,US,BA,['No dietary restrictions'],['No goals'],Low,Unhealthy,Male,Meat and Poultry,G's Flank Steak Marinade,healthy,D,8,0.386426398,Low,Neutral,Agree,Strongly_Agree,Disagree,Agree,Disagree,Env label
2091,b35_45,US,BA,['No dietary restrictions'],['No goals'],Low,Neither_healthy_no_unhealthy,Male,Meat and Poultry,Tomato Chicken Parmesan,unhealthy,C,10,0.342822803,Medium,Agree,Strongly_Agree,Strongly_Agree,Disagree,Agree,Strongly_Disagree,Env label
2092,b25_35,US,High_school,['No dietary restrictions'],['Eat less sugar'],Low,Unhealthy,Male,Meat and Poultry,Smoky Grilled Pork Chops,healthy,B,8,0.122414987,High,Neutral,Neutral,Agree,Strongly_Disagree,Agree,Strongly_Disagree,Env label
2093,b35_45,US,BA,"['Gluten free', ' Allergies']","['Eat more protein', ' Eat more vegetables', ' Lose weight']",High,Healthy,Female,Fruits and Vegetables,Tasty Lentil Tacos,healthy,A,7,0.063877614,High,Agree,Agree,Strongly_Agree,Disagree,Neutral,Disagree,Env label
2094,b25_35,US,High_school,['Gluten free'],"['Eat less sugar', ' Eat more protein', ' Eat more vegetables']",Medium,Healthy,Male,Fruits and Vegetables,California Grilled Veggie Sandwich,healthy,B,8,0.271121078,Medium,Agree,Strongly_Agree,Agree,Strongly_Agree,Disagree,Strongly_Agree,Env label
2095,bover_55,FI,Less_high_school,['Gluten free'],['Eat less salt'],Very_Low,Very_unhealthy,Male,Fruits and Vegetables,Pizza On The Grill I,healthy,C,7,0.240301113,Medium,Agree,Agree,Agree,Agree,Strongly_Agree,Strongly_Agree,Env label
2096,b35_45,US,BA,['Diabetes'],['Eat less salt'],High,Healthy,Female,Fruits and Vegetables,Pizza On The Grill I,healthy,C,7,0.240301113,Medium,Agree,Agree,Strongly_Agree,Disagree,Agree,Agree,Env label
2097,b35_45,US,Doctorate,['No dietary restrictions'],['No goals'],Very_Low,Neither_healthy_no_unhealthy,Male,Seafood Pasta and Noodles,Spinach Tomato Tortellini,unhealthy,C,9,0.276203942,Medium,Agree,Agree,Agree,Disagree,Agree,Strongly_Disagree,Env label
2098,b25_35,US,BA,['No dietary restrictions'],"['Eat less sugar', ' Eat more fruit', ' Eat more protein', ' Eat more vegetables', ' Lose weight']",Medium,Healthy,Female,Fruits and Vegetables,Authentic Louisiana Red Beans and Rice,healthy,A,8,0.096811833,High,Agree,Agree,Agree,Agree,Agree,Disagree,Env label
2099,b45_55,US,BA,['No dietary restrictions'],['Lose weight'],Medium,Healthy,Female,Fruits and Vegetables,Honey Garlic Ribs,unhealthy,C,11,0.131564043,High,Strongly_Agree,Strongly_Agree,Strongly_Agree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,Env label
2100,b25_35,US,BA,['Vegetarian'],['Eat more fruit'],High,Healthy,Male,Fruits and Vegetables,Spinach Cheese Manicotti,unhealthy,B,9,0.326735473,Medium,Strongly_Agree,Agree,Agree,Strongly_Disagree,Strongly_Agree,Neutral,Env label
2101,b35_45,US,BA,['Vegetarian'],"['Eat less salt', ' Eat less sugar', ' Eat more protein', ' Eat more vegetables', ' Lose weight']",Very High,Healthy,Female,Fruits and Vegetables,Farmer's Market Vegetarian Quesadillas,healthy,A,7,0.196658802,Medium,Strongly_Agree,Strongly_Agree,Strongly_Agree,Disagree,Strongly_Agree,Disagree,Env label
2102,b25_35,US,BA,['No dietary restrictions'],['Lose weight'],Medium,Healthy,Male,Meat and Poultry,Charley's Slow Cooker Mexican Style Meat,healthy,B,8,0.088227962,High,Neutral,Agree,Agree,Neutral,Agree,Disagree,Env label
2103,b25_35,US,MSc,['Gluten free'],['Eat more fruit'],Medium,Unhealthy,Male,Fruits and Vegetables,Slow Cooker Cilantro Lime Chicken,healthy,A,6,0.08028519,High,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Env label
2104,b35_45,US,BA,['No dietary restrictions'],"['Eat less sugar', ' Eat more vegetables']",Low,Healthy,Female,Meat and Poultry,Slow Cooker Cilantro Lime Chicken,healthy,A,6,0.08028519,High,Neutral,Neutral,Strongly_Agree,Agree,Disagree,Strongly_Disagree,Env label
2105,b45_55,US,High_school,['Gluten free'],"['Eat more fruit', ' Eat more protein', ' Eat more vegetables']",High,Healthy,Female,Fruits and Vegetables,Quick Chicken Piccata,healthy,B,8,0.37971817,Low,Agree,Agree,Agree,Strongly_Disagree,Agree,Disagree,Env label
2106,b25_35,US,BA,['No dietary restrictions'],['Eat less sugar'],High,Neither_healthy_no_unhealthy,Male,Meat and Poultry,G's Flank Steak Marinade,healthy,D,8,0.386426398,Low,Agree,Agree,Strongly_Agree,Agree,Disagree,Disagree,Env label
2107,b25_35,US,MSc,['No dietary restrictions'],['Eat less sugar'],Medium,Healthy,Male,Meat and Poultry,G's Flank Steak Marinade,healthy,D,8,0.386426398,Low,Agree,Disagree,Agree,Neutral,Agree,Neutral,Env label
2108,b25_35,US,MSc,"['Halal', ' Vegetarian']","['Eat less salt', ' Eat more fruit', ' Eat more vegetables']",Medium,Healthy,Male,Fruits and Vegetables,Lamb Chops with Balsamic Reduction,healthy,B,8,0.528443215,Low,Neutral,Strongly_Agree,Agree,Neutral,Agree,Strongly_Agree,Env label
2109,b35_45,US,MSc,['Allergies'],"['Eat less salt', ' Eat less sugar', ' Eat more fruit', ' Eat more protein', ' Eat more vegetables', ' Gain weight', ' Lose weight']",Medium,Healthy,Male,Fruits and Vegetables,Cajun Chicken Pasta,unhealthy,C,10,0.511236999,Low,Agree,Agree,Strongly_Agree,Strongly_Agree,Neutral,Agree,Env label
2110,b35_45,US,High_school,['Lactose intolerance'],['Lose weight'],Medium,Very_unhealthy,Female,Fruits and Vegetables,Spinach and Feta Turkey Burgers,healthy,A,7,0.207379914,Medium,Agree,Agree,Strongly_Agree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,Env label
2111,b35_45,US,BA,['No dietary restrictions'],"['Eat less salt', ' Gain weight']",Medium,Unhealthy,Female,Fruits and Vegetables,Kathy's Roast and Vegetables,healthy,A,7,0.37981674,Low,Agree,Agree,Agree,Agree,Agree,Disagree,Env label
2112,b45_55,US,MSc,"['Lactose intolerance', ' Vegetarian']","['No goals', ' Eat more fruit', ' Eat more protein', ' Eat more vegetables']",High,Healthy,Male,Fruits and Vegetables,Pizza On The Grill I,healthy,C,7,0.240301113,Medium,Strongly_Agree,Agree,Strongly_Agree,Agree,Strongly_Agree,Neutral,Env label
2113,b45_55,US,High_school,"['Gluten free', ' Lactose intolerance']",['No goals'],Low,Very_unhealthy,Female,Meat and Poultry,Boiled Chicken,healthy,A,5,0.109593441,High,Agree,Agree,Agree,Agree,Neutral,Disagree,Env label
2114,b35_45,US,MSc,"['No dietary restrictions', ' Gluten free', ' Allergies']","['Eat more fruit', ' Eat more protein', ' Eat more vegetables']",Medium,Healthy,Male,Meat and Poultry,Spicy Rapid Roast Chicken,healthy,A,6,0.143670686,High,Strongly_Agree,Agree,Strongly_Agree,Neutral,Strongly_Agree,Neutral,Env label
