person,age,country,education,diet_restriction,diet_goal,cooking_exp,eating_habits,gender,recipe_name
4,b35_45,US,BA,No dietary restrictions,No goals,Low,Unhealthy,Male,Ray's Chicken
5,b25_35,US,High_school,No dietary restrictions,"Eat less salt,Eat less sugar,Eat more fruit,Eat more protein,Eat more vegetables",Medium,Neither_healthy_no_unhealthy,Male,Sarge's EZ Pulled Pork BBQ
6,b35_45,US,BA,No dietary restrictions,Lose weight,Low,Neither_healthy_no_unhealthy,Male,Bow Ties with Sausage' Tomatoes and Cream
7,b25_35,US,High_school,No dietary restrictions,No goals,High,Neither_healthy_no_unhealthy,Male,Scott Hibb's Amazing Whisky Grilled Baby Back Ribs
9,b25_35,US,BA,No dietary restrictions,Eat more fruit,High,Healthy,Female,Pizza Without the Red Sauce
10,b35_45,US,BA,No dietary restrictions,"Eat less salt,Eat less sugar,Eat more vegetables",High,Healthy,Male,Cajun Chicken Pasta
11,b45_55,US,BA,No dietary restrictions,Lose weight,Medium,Healthy,Female,California Grilled Veggie Sandwich
13,b18_24,US,BA,Vegetarian,"Eat more fruit,Eat more protein,Eat more vegetables",High,Healthy,Female,Coconut Shrimp I
14,bover_55,US,BA,No dietary restrictions,"Eat less salt,Eat more fruit,Eat more vegetables,Lose weight",High,Neither_healthy_no_unhealthy,Male,Chipotle Shrimp Tacos
16,bover_55,US,BA,No dietary restrictions,Eat more vegetables,Medium,Neither_healthy_no_unhealthy,Female,Margarita Grilled Shrimp
19,b25_35,US,High_school,"Halal, Lactose intolerance, Vegetarian","Eat less salt,Eat more fruit,Eat more vegetables",High,Healthy,Male,Bacon Jack Chicken Sandwich
22,b45_55,US,BA,Diabetes,Lose weight,Medium,Healthy,Male,Simple Carnitas
23,bover_55,US,MSc,No dietary restrictions,Lose weight,Medium,Neither_healthy_no_unhealthy,Male,G's Flank Steak Marinade
24,b25_35,US,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Male,Foolproof Rib Roast
25,b45_55,US,High_school,"Diabetes, Lactose intolerance",Eat less sugar,High,Healthy,Female,Chicken Asparagus Roll-Ups
26,b18_24,US,MSc,Vegetarian,Eat less sugar,Very_Low,Very_Healthy,Female,Spinach and Feta Turkey Burgers
53,b45_55,US,MSc,"Lactose intolerance, Pescatarian, Vegetarian","Eat more fruit,Eat more protein,Eat more vegetables",High,Healthy,Male,Goat Cheese and Spinach Turkey Burgers
55,b25_35,US,BA,No dietary restrictions,No goals,Very High,Very_Healthy,Male,Marinated Grilled Shrimp
56,b45_55,US,MSc,No dietary restrictions,"Eat more fruit,Eat more protein,Eat more vegetables",Medium,Neither_healthy_no_unhealthy,Female,Italian Subs - Restaurant Style
57,b45_55,US,MSc,"Gluten free, Halal, Pescatarian","Eat more fruit,Eat more vegetables",High,Healthy,Female,Simple Carnitas
58,b45_55,US,BA,No dietary restrictions,"Eat less salt,Eat more fruit,Eat more vegetables,Lose weight",Medium,Very_Healthy,Male,Hearty Vegetable Lasagna
59,b45_55,AX,MSc,"Diabetes, Gluten free, Halal, Kosher, Pescatarian, Vegetarian","Eat less salt,Eat less sugar,Eat more protein,Gain weight",Low,Unhealthy,Female,Farmer's Market Vegetarian Quesadillas
60,b45_55,US,MSc,No dietary restrictions,Lose weight,Medium,Healthy,Female,Marinated Grilled Shrimp
61,b45_55,US,BA,No dietary restrictions,No goals,High,Healthy,Male,Dee's Roast Pork for Tacos
62,b45_55,US,BA,Vegetarian,"Eat less salt,Eat less sugar,Eat more fruit,Eat more protein,Eat more vegetables,Lose weight",Very High,Healthy,Male,Souvlaki
63,b35_45,US,BA,No dietary restrictions,"Eat less sugar,Eat more vegetables",High,Healthy,Female,Jalapeno Chicken II
65,b35_45,US,BA,"Gluten free, Vegetarian","Eat less sugar,Eat more fruit,Eat more protein,Eat more vegetables",High,Very_Healthy,Male,Farmer's Market Vegetarian Quesadillas
66,b45_55,US,BA,Vegetarian,Eat less sugar,High,Healthy,Female,Garden Veggie Pizza Squares
67,b45_55,US,MSc,"No dietary restrictions, Gluten free, Kosher","Eat less sugar,Eat more protein",Medium,Healthy,Female,Kickin' London Broil with Bleu Cheese Butter
69,b45_55,US,MSc,"Lactose intolerance, Pescatarian, Vegetarian","Eat more fruit,Eat more protein,Eat more vegetables",High,Very_Healthy,Female,Cajun Chicken Pasta
72,b45_55,US,BA,"Gluten free, Halal, Kosher, Vegetarian","Eat less sugar,Eat more fruit,Eat more protein",High,Healthy,Female,Italian Subs - Restaurant Style
73,b25_35,US,BA,Vegetarian,"Eat more fruit,Eat more protein,Eat more vegetables",High,Very_Healthy,Male,Grilled Sausage with Potatoes and Green Beans
75,b45_55,US,MSc,Lactose intolerance,Eat more fruit,Medium,Neither_healthy_no_unhealthy,Female,Baked Teriyaki Chicken
76,b45_55,US,MSc,"Pescatarian, Vegetarian","Eat more fruit,Eat more protein,Eat more vegetables",High,Very_Healthy,Male,Juicy Lucy Burgers
77,b45_55,US,MSc,Diabetes,"Eat less salt,Eat less sugar",Medium,Healthy,Male,Charley's Slow Cooker Mexican Style Meat
78,b45_55,US,MSc,Diabetes,"Eat less salt,Eat less sugar",Medium,Healthy,Female,Spinach Cheese Manicotti
79,b35_45,US,BA,Vegetarian,Lose weight,High,Very_Healthy,Female,Simple Carnitas
80,b45_55,US,BA,Diabetes,No goals,Medium,Neither_healthy_no_unhealthy,Male,Roast Sticky Chicken-Rotisserie Style
81,b35_45,US,BA,Vegetarian,Eat more fruit,High,Healthy,Male,Kathy's Roast and Vegetables
82,b25_35,US,BA,"Gluten free, Vegetarian",Gain weight,High,Healthy,Female,Spinach and Feta Turkey Burgers
83,b45_55,US,MSc,"Lactose intolerance, Vegetarian","Eat less sugar,Eat more fruit,Eat more protein,Eat more vegetables",Medium,Neither_healthy_no_unhealthy,Female,Tomato Bacon Grilled Cheese
84,b25_35,US,BA,Diabetes,No goals,High,Neither_healthy_no_unhealthy,Female,Easy Herb Roasted Turkey
85,b25_35,US,MSc,Vegetarian,Eat more fruit,Very High,Very_Healthy,Male,Pizza On The Grill I
86,b45_55,US,MSc,"Pescatarian, Vegetarian","Eat more fruit,Eat more protein,Eat more vegetables",High,Very_Healthy,Female,Spinach and Feta Turkey Burgers
87,b35_45,US,High_school,No dietary restrictions,"Eat more protein,Eat more vegetables",Medium,Unhealthy,Male,Kickin' London Broil with Bleu Cheese Butter
89,b45_55,US,BA,"Halal, Kosher, Lactose intolerance, Pescatarian","Eat more fruit,Eat more protein",High,Very_Healthy,Female,Italian Subs - Restaurant Style
90,b45_55,US,MSc,"Lactose intolerance, Pescatarian, Vegetarian","Eat more fruit,Eat more protein,Eat more vegetables",High,Healthy,Male,Grilled Tilapia with Mango Salsa
91,b35_45,US,BA,No dietary restrictions,"Eat more fruit,Eat more protein,Eat more vegetables",Medium,Healthy,Male,Chicken Marsala Florentine
92,b25_35,US,BA,No dietary restrictions,No goals,Low,Neither_healthy_no_unhealthy,Male,Foolproof Rib Roast
93,b35_45,US,MSc,"Lactose intolerance, Pescatarian","Eat less salt,Eat more fruit,Eat more vegetables",High,Healthy,Female,Simple Carnitas
94,b35_45,US,BA,Diabetes,Eat less sugar,Medium,Healthy,Male,Crispy Fried Chicken
96,b25_35,US,BA,"Diabetes, Lactose intolerance, Pescatarian","Eat less salt,Eat less sugar,Eat more fruit,Eat more protein,Eat more vegetables",High,Healthy,Female,Bacon Jack Chicken Sandwich
99,b45_55,US,MSc,Diabetes,"Eat less salt,Eat less sugar",High,Healthy,Male,Kickin' London Broil with Bleu Cheese Butter
100,b35_45,US,BA,No dietary restrictions,No goals,Medium,Healthy,Male,Spinach Tomato Tortellini
105,b25_35,US,BA,No dietary restrictions,No goals,Medium,Healthy,Male,Beer Butt Chicken
109,b45_55,US,MSc,Diabetes,"Eat less salt,Eat less sugar",High,Healthy,Male,G's Flank Steak Marinade
114,b35_45,US,BA,No dietary restrictions,"Eat more fruit,Eat more protein,Eat more vegetables",High,Very_Healthy,Male,Queenie's Killer Tomato Bagel Sandwich
115,b45_55,US,MSc,Kosher,Eat more protein,Medium,Healthy,Female,Teena's Spicy Pesto Chicken and Pasta
118,b25_35,US,BA,Vegetarian,"Eat less salt,Eat less sugar,Eat more protein,Eat more vegetables",Medium,Healthy,Male,Three Cheese Manicotti II
119,b45_55,US,MSc,"Lactose intolerance, Pescatarian, Vegetarian","Eat more fruit,Eat more protein,Eat more vegetables",High,Healthy,Female,Pizza On The Grill I
120,b45_55,US,MSc,No dietary restrictions,"Eat more fruit,Eat more protein,Eat more vegetables,Gain weight",Medium,Healthy,Female,Bacon Jack Chicken Sandwich
121,b35_45,US,BA,Diabetes,"Eat less salt,Eat less sugar",Medium,Healthy,Male,Spinach and Feta Turkey Burgers
122,b25_35,US,BA,"Kosher, Lactose intolerance, Vegetarian","Eat less sugar,Eat more fruit,Eat more vegetables",Medium,Neither_healthy_no_unhealthy,Male,Mama's Best Broiled Tomato Sandwich
123,b25_35,US,High_school,No dietary restrictions,No goals,Low,Neither_healthy_no_unhealthy,Male,Garlic Prime Rib
124,b25_35,US,BA,Diabetes,Eat more protein,Medium,Very_Healthy,Male,Linguine Pasta with Shrimp and Tomatoes
125,b25_35,US,BA,Pescatarian,Eat more fruit,High,Very_Healthy,Female,California Grilled Veggie Sandwich
126,b35_45,US,BA,No dietary restrictions,"Eat less salt,Eat less sugar,Eat more fruit,Eat more protein,Eat more vegetables",High,Neither_healthy_no_unhealthy,Male,Shoyu Chicken
127,b45_55,US,MSc,No dietary restrictions,"Eat less sugar,Eat more fruit,Eat more protein",Medium,Neither_healthy_no_unhealthy,Female,Spinach and Feta Turkey Burgers
128,b25_35,US,BA,"Diabetes, Kosher, Lactose intolerance, Pescatarian","Eat less salt,Eat less sugar,Eat more fruit,Eat more protein,Eat more vegetables",Very High,Healthy,Female,Grilled Marinated Shrimp
129,b25_35,US,BA,Vegetarian,"Eat less sugar,Eat more fruit,Eat more vegetables",High,Very_Healthy,Male,California Grilled Veggie Sandwich
130,b25_35,US,BA,"Kosher, Lactose intolerance","Eat less sugar,Eat more fruit",High,Healthy,Male,G's Flank Steak Marinade
131,b45_55,US,MSc,No dietary restrictions,"Eat more fruit,Eat more protein,Eat more vegetables,Gain weight",Medium,Neither_healthy_no_unhealthy,Female,Charley's Slow Cooker Mexican Style Meat
132,b25_35,US,BA,"Diabetes, Gluten free","Eat less sugar,Eat more fruit",High,Healthy,Male,Grilled Sausage with Potatoes and Green Beans
133,b25_35,US,BA,No dietary restrictions,No goals,High,Healthy,Male,Sloppy Joes II
134,b25_35,US,BA,Vegetarian,Eat more vegetables,Medium,Very_Healthy,Female,Sausage' Peppers' Onions' and Potato Bake
135,b25_35,US,BA,"Halal, Kosher, Lactose intolerance","Eat more protein,Eat more vegetables",Medium,Healthy,Male,Champagne Shrimp and Pasta
136,b45_55,US,MSc,Vegetarian,No goals,High,Healthy,Male,Italian Subs - Restaurant Style
137,b25_35,US,MSc,Vegetarian,Eat more fruit,High,Very_Healthy,Male,Queenie's Killer Tomato Bagel Sandwich
138,b45_55,US,MSc,No dietary restrictions,"Eat more fruit,Eat more protein,Eat more vegetables,Gain weight",Medium,Neither_healthy_no_unhealthy,Female,Chicken Asparagus Roll-Ups
139,b25_35,US,BA,No dietary restrictions,Eat more protein,High,Very_Healthy,Male,Kickin' London Broil with Bleu Cheese Butter
140,b35_45,US,BA,No dietary restrictions,No goals,Low,Neither_healthy_no_unhealthy,Male,Bacon Jack Chicken Sandwich
141,b35_45,US,MSc,"Diabetes, Vegetarian","Eat less sugar,Eat more protein",High,Healthy,Female,Simple Carnitas
142,b35_45,US,High_school,No dietary restrictions,"Eat less salt,Eat less sugar,Gain weight",Low,Healthy,Male,Simple Carnitas
143,b25_35,US,High_school,No dietary restrictions,No goals,Medium,Healthy,Male,Charley's Slow Cooker Mexican Style Meat
144,b45_55,US,BA,Diabetes,No goals,High,Very_Healthy,Female,Queenie's Killer Tomato Bagel Sandwich
145,b25_35,US,BA,Vegetarian,Eat less sugar,High,Healthy,Female,Queenie's Killer Tomato Bagel Sandwich
146,b25_35,US,BA,Vegetarian,Eat more fruit,Medium,Very_Healthy,Female,Pico de Gallo Chicken Quesadillas
147,bover_55,US,BA,No dietary restrictions,Lose weight,Medium,Healthy,Female,Slow Cooker Cilantro Lime Chicken
148,b25_35,US,BA,"Halal, Kosher, Vegetarian","Eat less sugar,Eat more fruit,Eat more protein",High,Healthy,Female,Soul Smothered Chicken
149,b35_45,US,BA,Pescatarian,Eat more fruit,High,Healthy,Female,Marinated Grilled Shrimp
150,b18_24,US,BA,Vegetarian,"Eat more fruit,Eat more protein,Gain weight",Medium,Neither_healthy_no_unhealthy,Male,Grilled Tilapia with Mango Salsa
151,b45_55,US,MSc,Vegetarian,No goals,High,Very_Healthy,Female,Firecracker Grilled Alaska Salmon
152,b45_55,US,High_school,No dietary restrictions,No goals,High,Healthy,Male,Queenie's Killer Tomato Bagel Sandwich
153,b25_35,US,MSc,Vegetarian,"Eat more fruit,Eat more protein,Eat more vegetables",High,Healthy,Male,Italian Sausage' Peppers' and Onions
154,b25_35,US,BA,No dietary restrictions,No goals,High,Neither_healthy_no_unhealthy,Male,Linguine Pasta with Shrimp and Tomatoes
155,b45_55,US,High_school,No dietary restrictions,No goals,Low,Neither_healthy_no_unhealthy,Female,Stuffed Shells III
156,b25_35,US,High_school,No dietary restrictions,No goals,Medium,Healthy,Male,Best Tuna Melt (New Jersey Diner Style)
157,bover_55,US,High_school,Vegetarian,No goals,Medium,Healthy,Male,Queenie's Killer Tomato Bagel Sandwich
158,bover_55,US,High_school,No dietary restrictions,No goals,Medium,Healthy,Female,Spinach Quiche
159,b25_35,US,MSc,Diabetes,Eat more vegetables,High,Healthy,Male,Sausage' Peppers' Onions' and Potato Bake
1018,b25_35,US,High_school,No Dietary Restrictions,No goals,Medium,Healthy,Female,Farmer's Market Vegetarian Quesadillas
1019,b25_35,US,High_school,"Lactose intolerance, Other",Lose weight,Medium,Neither_healthy_no_unhealthy,Female,Linguine Pasta with Shrimp and Tomatoes
1020,b25_35,US,BA,No Dietary Restrictions,"Eat less sugar,Eat more protein,Lose weight",Very_Low,Unhealthy,Male,Three Cheese Manicotti II
1021,bover_55,US,High_school,Diabetes,"Eat less sugar,Lose weight",High,Unhealthy,Female,Ray's Chicken
1022,b35_45,US,BA,No Dietary Restrictions,"Eat less sugar,Lose weight",Medium,Neither_healthy_no_unhealthy,Male,Kickin' London Broil with Bleu Cheese Butter
1023,b45_55,US,High_school,No Dietary Restrictions,Lose weight,High,Healthy,Female,Cajun Chicken Pasta
1024,bover_55,US,BA,Lactose intolerance,"Eat more protein,Eat more vegetables,Lose weight",Medium,Neither_healthy_no_unhealthy,Female,Bow Ties with Sausage' Tomatoes and Cream
1025,b35_45,US,High_school,"Gluten-free, Vegetarian",Lose weight,Very High,Very_Healthy,Male,Pizza On The Grill I
1026,b25_35,US,BA,No Dietary Restrictions,Eat less sugar,Medium,Healthy,Male,Simple Carnitas
1027,b25_35,US,BA,No Dietary Restrictions,No goals,High,Healthy,Male,Roast Sticky Chicken-Rotisserie Style
1028,b35_45,US,BA,No Dietary Restrictions,Lose weight,Low,Unhealthy,Male,Dijon-Tarragon Cream Chicken
1031,b25_35,US,BA,No Dietary Restrictions,Eat more vegetables,High,Healthy,refuse_to_disc,Marinated Grilled Shrimp
1032,b25_35,US,BA,Halal,"Eat less sugar,Eat more protein,Eat more vegetables",Very_Low,Neither_healthy_no_unhealthy,Male,Filet Mignon with Rich Balsamic Glaze
1035,b25_35,US,MSc,Vegetarian,Eat more vegetables,Medium,Very_Healthy,Male,Simple Carnitas
1037,b35_45,US,High_school,No Dietary Restrictions,No goals,Medium,Unhealthy,Male,Grilled Flat Iron Steak with Blue Cheese-Chive Butter
1038,b25_35,US,BA,No Dietary Restrictions,"Eat less sugar,Eat more fruit,Eat more protein,Eat more vegetables",Medium,Healthy,Male,Chicken and Bacon Shish Kabobs
1040,b25_35,US,BA,No Dietary Restrictions,No goals,High,Very_Healthy,Female,Chicken and Bacon Shish Kabobs
1041,b35_45,US,High_school,"Gluten-free, Lactose intolerance, Vegetarian","Eat more fruit,Eat more vegetables,Lose weight",High,Healthy,Female,Spinach and Feta Pita Bake
1042,b35_45,US,BA,No Dietary Restrictions,No goals,High,Healthy,Male,Asian Beef Skewers
1044,b45_55,US,BA,Vegetarian,Eat more fruit,Medium,Healthy,Female,Coconut Shrimp I
1045,b25_35,US,BA,Vegetarian,Eat less sugar,Low,Neither_healthy_no_unhealthy,Male,California Grilled Veggie Sandwich
1055,b25_35,US,High_school,No Dietary Restrictions,"Eat more fruit,Eat more vegetables,Lose weight",Medium,Neither_healthy_no_unhealthy,Male,Three Cheese Manicotti II
1056,b25_35,US,BA,No Dietary Restrictions,"Eat less sugar,Eat more protein,Lose weight",High,Neither_healthy_no_unhealthy,Male,Scott Hibb's Amazing Whisky Grilled Baby Back Ribs
1057,b45_55,US,High_school,No Dietary Restrictions,"Eat more vegetables,Lose weight",High,Healthy,Female,Linguine Pasta with Shrimp and Tomatoes
1066,b25_35,US,BA,"Lactose intolerance, Pescatarian, Vegetarian","Eat less salt,Eat less sugar,Eat more fruit",Medium,Very_Healthy,Male,Baked Ziti I
1067,b25_35,US,BA,No Dietary Restrictions,"Eat less sugar,Eat more fruit",High,Healthy,Male,Coconut Shrimp I
1068,b45_55,US,BA,Lactose intolerance,No goals,High,Neither_healthy_no_unhealthy,Female,Stuffed Shells I
1069,b35_45,US,BA,No Dietary Restrictions,No goals,High,Neither_healthy_no_unhealthy,Female,Teena's Spicy Pesto Chicken and Pasta
1070,b35_45,US,BA,No Dietary Restrictions,Eat less sugar,Medium,Healthy,Female,Pizza On The Grill I
1071,b25_35,US,MSc,"Gluten-free, Halal, Kosher","Eat less salt,Eat less sugar,Eat more fruit,Eat more protein",Very High,Very_Healthy,Male,Chipotle Shrimp Tacos
1073,bover_55,US,MSc,Diabetes,No goals,High,Healthy,Male,Honey Glazed Ham
1074,b25_35,US,High_school,No Dietary Restrictions,"Eat more fruit,Eat more vegetables",Medium,Neither_healthy_no_unhealthy,Male,Kickin' London Broil with Bleu Cheese Butter
1076,bover_55,US,BA,No Dietary Restrictions,Lose weight,Medium,Neither_healthy_no_unhealthy,Female,Baked Ziti I
1077,b35_45,US,BA,No Dietary Restrictions,"Eat more fruit,Eat more vegetables",Medium,Neither_healthy_no_unhealthy,Male,Stuffed Shells III
1078,b25_35,US,BA,No Dietary Restrictions,Lose weight,Medium,Neither_healthy_no_unhealthy,Female,Pizza On The Grill I
1082,b25_35,US,High_school,No Dietary Restrictions,"Eat less sugar,Eat more protein",Medium,Neither_healthy_no_unhealthy,Male,Souvlaki
1084,b35_45,US,High_school,No Dietary Restrictions,Lose weight,Medium,Neither_healthy_no_unhealthy,Female,Kickin' London Broil with Bleu Cheese Butter
1087,b25_35,US,BA,"Diabetes, Vegetarian","Eat less salt,Eat less sugar,Eat more fruit,Eat more vegetables",Medium,Healthy,Male,Italian Subs - Restaurant Style
1088,b25_35,US,BA,No Dietary Restrictions,No goals,Very High,Very_Healthy,Male,Baked Halibut Steaks
1091,b45_55,US,BA,Halal,Eat less salt,High,Healthy,Male,Coconut Shrimp I
1100,b25_35,US,BA,No Dietary Restrictions,No goals,Medium,Healthy,Male,Crustless Spinach Quiche
1101,b25_35,US,BA,No Dietary Restrictions,No goals,Medium,Healthy,Male,Grilled Sausage with Potatoes and Green Beans
1102,b25_35,US,BA,Halal,Eat more fruit,Medium,Very_Healthy,Male,Bow Ties with Sausage' Tomatoes and Cream
1103,b35_45,US,High_school,"Halal, Kosher","Eat more fruit,Eat more protein",Very High,Healthy,Male,Scott Hibb's Amazing Whisky Grilled Baby Back Ribs
1104,b25_35,US,MSc,No Dietary Restrictions,No goals,Medium,Healthy,Female,Charley's Slow Cooker Mexican Style Meat
1105,b45_55,US,High_school,No Dietary Restrictions,No goals,Very High,Healthy,Female,Spinach and Feta Turkey Burgers
1106,b25_35,US,BA,No Dietary Restrictions,No goals,High,Healthy,Male,G's Flank Steak Marinade
1107,bover_55,US,High_school,No Dietary Restrictions,"Eat more vegetables,Lose weight",Medium,Unhealthy,Female,Bacon Wrapped Pork Medallions
1108,b25_35,US,BA,Vegetarian,Eat more fruit,Very High,Very_Healthy,Male,Pizza On The Grill I
1109,b25_35,US,MSc,No Dietary Restrictions,No goals,High,Healthy,Male,Beef Stroganoff III
1110,b45_55,US,BA,No Dietary Restrictions,Lose weight,Low,Unhealthy,Male,Souvlaki
1111,b25_35,US,BA,No Dietary Restrictions,"Eat less sugar,Eat more fruit,Eat more protein,Eat more vegetables",Medium,Healthy,Female,Simple Carnitas
1112,b25_35,US,BA,No Dietary Restrictions,"Eat more protein,Eat more vegetables",Medium,Healthy,Male,Kalua Pig in a Slow Cooker
1115,b25_35,US,High_school,Gluten-free,"Eat less sugar,Eat more vegetables,Lose weight",Medium,Healthy,Female,Italian Sausage' Peppers' and Onions
1116,b25_35,US,MSc,No Dietary Restrictions,Eat less sugar,Medium,Healthy,Male,Champagne Shrimp and Pasta
1118,b25_35,US,BA,"Lactose intolerance, Pescatarian, Vegetarian","Eat less salt,Eat less sugar",High,Healthy,Male,Bow Ties with Sausage' Tomatoes and Cream
1122,b35_45,US,MSc,No Dietary Restrictions,"No goals,Eat more vegetables",Medium,Healthy,Male,Simple Carnitas
1123,b25_35,US,BA,No Dietary Restrictions,No goals,Medium,Very_Healthy,Male,Chicken Pot Pie IX
1129,b25_35,US,BA,No Dietary Restrictions,No goals,Medium,Very_Healthy,Male,Sensational Sirloin Kabobs
